type	name	lat	long
3	椙山女学園大学（星が丘キャンパス）	35.159282	136.987314
3	大同大学	35.079001	136.906506
3	中京大学（名古屋キャンパス）	35.13814	136.965803
3	同朋大学	35.163759	136.843385
3	名古屋学院大学（名古屋キャンパスしろとり）	35.128484	136.899267
3	名古屋商科大学（日進キャンパス）	35.154847	137.092833
3	名古屋葵大学	35.131822	136.938051
3	南山大学	35.148693	136.962841
3	日本福祉大学（美浜キャンパス）	34.7840151	136.8684978
3	名城大学（天白キャンパス）	35.135429	136.975098
3	名古屋音楽大学	35.163329	136.843066
3	豊田工業大学	35.106576	136.983018
3	名古屋外国語大学（日進キャンパス）	35.158643	137.042182
3	名古屋造形大学	35.1904798	136.9047453
3	愛知産業大学	34.920954	137.222589
3	東海学園大学（三好キャンパス）	35.126552	137.10219
3	豊橋創造大学	34.776707	137.410313
3	愛知東邦大学	35.170095	136.987066
3	星城大学（本部東海キャンパス）	35.03328	136.90108
3	愛知文教大学	35.300509	137.008092
3	桜花学園大学	35.059313	136.975203
3	愛知大学（名古屋キャンパス）	35.174623	136.927469
3	愛知学泉大学（岡崎キャンパス）	34.973355	137.144299
3	至学館大学	35.031034	136.971871
3	中部大学（春日井キャンパス）	35.273068	137.015401
3	藤田医科大学	35.071172	137.001271
3	名古屋芸術大学（東キャンパス）	35.256075	136.881039
3	愛知医科大学	35.193058	137.049614
3	愛知淑徳大学（長久手キャンパス）	35.157368	137.031727
3	名古屋経済大学（犬山キャンパス）	35.319686	136.953699
3	名古屋学芸大学（日進キャンパス）	35.157268	137.04218
3	日本赤十字豊田看護大学	35.102815	137.119358
3	修文大学	35.301165	136.781949
3	岡崎大学	34.954909	137.18549
3	一宮研伸大学	35.316778	136.81134
3	名古屋柳城女子大学 	35.146504	136.932167
3	名古屋国際工科専門職大学	35.168142	136.8857751
3	愛知医療学院大学	35.2207906	136.84033
1	三重大学	34.746375	136.521508
2	三重県立看護大学	34.760112	136.488777
3	四日市大学	35.021617	136.60807
3	皇學館大学	34.484865	136.727084
3	鈴鹿医療科学大学（千代崎キャンパス）	34.85868	136.59926
3	鈴鹿大学	34.8085696	136.5384059
3	四日市看護医療大学	35.022527	136.608346
1	滋賀大学（彦根キャンパス）	35.27815	136.246792
1	滋賀医科大学	34.973848	135.949953
2	滋賀県立大学	35.259904	136.219272
3	成安造形大学	35.109093	135.902314
3	聖泉大学	35.20501	136.20469
3	長浜バイオ大学	35.357071	136.280255
3	びわこ成蹊スポーツ大学	35.227287	135.948431
3	びわこ学院大学	35.087838	136.185429
3	びわこリハビリテーション専門職大学（びわこ東近江キャンパス）	35.1324837	136.2759743
1	京都大学（吉田キャンパス）	35.026244	135.780822
1	京都教育大学（藤森学舎）	34.950215	135.773187
1	京都工芸繊維大学（松ヶ崎キャンパス）	35.049664	135.782046
2	京都市立芸術大学	34.9866425	135.7636678
2	京都府立大学（下鴨キャンパス）	35.047217	135.767117
2	京都府立医科大学（河原町キャンパス）	35.022914	135.77003
2	福知山公立大学	35.284435	135.128119
3	平安女学院大学（京都キャンパス）	35.0196789	135.7577077
3	大谷大学（本部キャンパス）	35.042462	135.758985
3	京都外国語大学	35.004003	135.718556
3	京都産業大学	35.070487	135.757799
3	京都女子大学	34.988605	135.779842
3	京都薬科大学（本校地）	34.991117	135.809222
3	京都光華大学	34.996305	135.71883
3	種智院大学	34.914022	135.765545
3	京都橘大学	34.968495	135.826137
3	同志社大学（今出川校地）	35.029332	135.761489
3	同志社女子大学（京田辺キャンパス）	35.029654	135.763572
3	京都ノートルダム女子大学	35.050705	135.77273
3	花園大学	35.017132	135.725711
3	佛教大学（紫野キャンパス）	35.043166	135.737301
3	立命館大学（衣笠キャンパス）	35.032556	135.723304
3	龍谷大学（深草キャンパス）	34.963774	135.766386
3	京都先端科学大学（京都太秦キャンパス）	35.010542	135.718477
